,image_id,split,sat_image_path,mask_path
3208,561152,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/561152_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/561152_mask.png
4124,692502,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/692502_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/692502_mask.png
211,132627,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/132627_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/132627_mask.png
2591,469867,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/469867_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/469867_mask.png
2437,447775,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/447775_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/447775_mask.png
2573,466064,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/466064_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/466064_mask.png
5603,906049,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/906049_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/906049_mask.png
3725,630794,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/630794_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/630794_mask.png
6042,969845,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/969845_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/969845_mask.png
2941,519406,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/519406_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/519406_mask.png
1777,354244,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/354244_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/354244_mask.png
4685,77085,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/77085_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/77085_mask.png
971,241710,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/241710_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/241710_mask.png
5801,935601,train,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/935601_sat.jpg,/home/ad.adasworks.com/bence.panczel/Documents/git/egyetem/Vision_transformers_for_image_segmentation/project/data/road-detection-dataset-with-masks/deepglobe-road-extraction-dataset/train/935601_mask.png
